"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Animal or vegetable fats and oils and their cleavage products",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,366307,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,47954,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,116906,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,297292,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,631592,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,1651258,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,10014373,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,11240869,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,12468344,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,3374912,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Stearic Acid",31519,"Animal and Vegetable Bi-Products",3,3037182,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,186529,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Waxes",31521,"Animal and Vegetable Bi-Products",3,550536,2019
"Animal or vegetable fats and oils and their cleavage products",315,"Fat and Oil Residues",31522,"Animal and Vegetable Bi-Products",3,96117.00000000001,2019
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Sausages",41601,"Foodstuffs",4,2610556,2019
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Other Prepared Meat",41602,"Foodstuffs",4,143670754,2019
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Animal Extracts",41603,"Foodstuffs",4,38639582,2019
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Processed Fish",41604,"Foodstuffs",4,20847288,2019
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",416,"Processed Crustaceans",41605,"Foodstuffs",4,215099430,2019
