"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Trade Value"
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2070951,"Mushrooms, fresh or chilled",676738
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2070960,"Peppers (Capsicum, Pimenta) fresh or chilled",17531
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2070990,"Vegetables, fresh or chilled nes",49067
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",2071010,"Potatoes, frozen, uncooked steamed or boiled",153623
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",2071021,"Peas, frozen, uncooked steamed or boiled",717667
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",2071022,"Beans, frozen, uncooked steamed or boiled",3946
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",2071029,"Legumes, except peas and beans, frozen",65203
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",2071030,"Spinach, frozen, uncooked steamed or boiled",3457.0000000000005
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",2071040,"Sweet corn, frozen, uncooked steamed or boiled",138787
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",2071080,"Vegetables, frozen nes, uncooked steamed or boiled",1957769
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",2071090,"Frozen vegetable mixtures, uncooked, boiled or steame",550905
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",2071120,"Olives, provisionally preserved",3719
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",2071190,"Vegetables nes and mixtures provisionally preserved",39506
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",2071220,"Onions, dried, not further prepared",1019672
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",2071230,"Mushrooms and truffles, dried, not further prepared",127788
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",2071290,"Vegetables nes & mixtures, dried, not further prepare",1978826
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071310,"Peas dried, shelled",276377
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071320,"Chickpeas, dried, shelled",1373679
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071331,"Urd,mung,black or green gram beans dried shelled",35273
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071332,"Beans, small red (Adzuki) dried, shelled",446250
